API,class,stress,level,initial_API,initial_deg,stressed_API_true,stressed_deg_true,stressed_API_meas,stressed_deg_meas
API_A,small_nonvolatile,acid,low,99.56,0.12,98.37,0.93,97.09,1.57
API_A,small_nonvolatile,acid,mid,97.35,0.48,92.05,4.06,89.68,5.25
API_A,small_nonvolatile,acid,high,97.11,0.28,67.36,23.8,65.65,24.66
API_A,small_nonvolatile,base,low,97.03,0.83,94.78,2.44,93.74,2.96
API_A,small_nonvolatile,base,mid,100.83,0.4,94.9,4.16,92.85,5.19
API_A,small_nonvolatile,base,high,99.92,0.58,65.32,25.92,63.92,26.63
API_A,small_nonvolatile,oxidation,low,100.32,0.66,97.66,2.79,98.6,2.32
API_A,small_nonvolatile,oxidation,mid,98.16,0.17,90.83,4.83,91.06,4.71
API_A,small_nonvolatile,oxidation,high,99.54,0.43,73.99,17.63,75.5,16.88
API_A,small_nonvolatile,thermal,low,99.44,0.25,97.11,1.78,96.45,2.11
API_A,small_nonvolatile,thermal,mid,100.96,0.68,90.39,9.55,90.56,9.47
API_A,small_nonvolatile,thermal,high,97.13,0.38,73.11,16.57,72.07,17.09
API_A,small_nonvolatile,photolysis,low,100.51,0.38,98.37,1.96,97.26,2.52
API_A,small_nonvolatile,photolysis,mid,97.99,0.61,90.36,6.74,90.65,6.6
API_A,small_nonvolatile,photolysis,high,98.6,0.3,63.63,27.51,64.12,27.27
API_A,small_volatile,acid,low,99.51,0.81,97.95,1.32,98.12,1.24
API_A,small_volatile,acid,mid,100.98,0.58,86.27,10.05,86,10.19
API_A,small_volatile,acid,high,99.15,0.34,69.53,10.55,67.72,11.45
API_A,small_volatile,base,low,98.81,0.96,96.13,2.05,97.32,1.45
API_A,small_volatile,base,mid,100.48,0.37,89.09,6.56,91.23,5.49
API_A,small_volatile,base,high,100.05,0.59,68.37,16.81,68.28,16.85
API_A,small_volatile,oxidation,low,100.72,0.89,98.14,1.98,98.32,1.89
API_A,small_volatile,oxidation,mid,100.51,0.95,94.66,3.85,94.77,3.79
API_A,small_volatile,oxidation,high,97.51,0.53,69.27,12,66.82,13.22
API_A,small_volatile,thermal,low,98.69,0.29,96.84,1.38,95.49,2.06
API_A,small_volatile,thermal,mid,99.6,0.49,89.42,4.04,92.79,2.36
API_A,small_volatile,thermal,high,98.35,0.63,74.9,9.73,74.39,9.98
API_A,small_volatile,photolysis,low,100.62,0.87,99.94,1.14,99.24,1.49
API_A,small_volatile,photolysis,mid,97.86,0.22,83.5,7.8,83.99,7.56
API_A,small_volatile,photolysis,high,97.76,0.19,71.3,12.61,69.11,13.7
API_A,peptide,acid,low,99.92,0.71,96.96,1.74,95.68,2.38
API_A,peptide,acid,mid,97.99,0.27,88.51,5.12,90.43,4.16
API_A,peptide,acid,high,98,0.93,71.35,20.4,75.96,18.1
API_A,peptide,base,low,100.34,0.97,97.53,3.01,98.82,2.37
API_A,peptide,base,mid,98.94,0.29,89.93,3.26,90.86,2.79
API_A,peptide,base,high,100.14,0.51,73.79,21.02,73.68,21.08
API_A,peptide,oxidation,low,99.22,0.75,98.34,1.14,96.71,1.96
API_A,peptide,oxidation,mid,99.99,0.15,89.15,6.13,88.3,6.56
API_A,peptide,oxidation,high,97.63,0.96,76.43,9.3,76,9.51
API_A,peptide,thermal,low,97.48,0.9,96.36,1.57,95.51,2
API_A,peptide,thermal,mid,98.68,0.63,88.45,8.47,88.28,8.56
API_A,peptide,thermal,high,98.58,0.7,74.08,11.93,73.09,12.42
API_A,peptide,photolysis,low,97.29,0.51,94.29,2.9,94.48,2.81
API_A,peptide,photolysis,mid,100.73,0.89,86.94,7.58,87.76,7.17
API_A,peptide,photolysis,high,100.33,0.73,71.16,23.89,73.6,22.67
API_B,small_nonvolatile,acid,low,98.2,0.7,95.35,2.54,95.45,2.49
API_B,small_nonvolatile,acid,mid,97.43,0.6,89.7,6.87,90.26,6.59
API_B,small_nonvolatile,acid,high,98.06,0.54,64.48,30.63,65.9,29.92
API_B,small_nonvolatile,base,low,98.69,0.35,98.19,0.79,98.02,0.87
API_B,small_nonvolatile,base,mid,99.21,0.48,94.11,3.68,96.47,2.5
API_B,small_nonvolatile,base,high,100.62,0.59,68.1,26.73,68.74,26.41
API_B,small_nonvolatile,oxidation,low,100.6,0.82,97.94,3.24,98.63,2.9
API_B,small_nonvolatile,oxidation,mid,98,0.19,85.2,11.83,84.69,12.09
API_B,small_nonvolatile,oxidation,high,100.72,0.88,66.08,31.49,65.5,31.78
API_B,small_nonvolatile,thermal,low,97.1,0.76,95.77,1.99,97.45,1.15
API_B,small_nonvolatile,thermal,mid,98.07,0.81,91.99,6.31,90.02,7.3
API_B,small_nonvolatile,thermal,high,97.89,0.83,70.99,19.85,71.03,19.83
API_B,small_nonvolatile,photolysis,low,97.77,0.4,95.11,2.89,95.36,2.77
API_B,small_nonvolatile,photolysis,mid,99.57,0.46,84.75,12.13,87.67,10.67
API_B,small_nonvolatile,photolysis,high,97.71,0.97,73.73,16.27,75.87,15.19
API_B,small_volatile,acid,low,99.91,0.38,97.9,1.4,97.09,1.8
API_B,small_volatile,acid,mid,99.84,0.1,85.58,7.45,85.1,7.69
API_B,small_volatile,acid,high,99.97,0.7,74.5,9.06,73.95,9.33
API_B,small_volatile,base,low,100.39,0.75,99.14,1.28,100.06,0.82
API_B,small_volatile,base,mid,98.61,0.37,92.34,3.3,90.94,4
API_B,small_volatile,base,high,99.46,0.37,71.24,8.84,69.03,9.95
API_B,small_volatile,oxidation,low,98.72,0.62,96.58,1.66,96.9,1.5
API_B,small_volatile,oxidation,mid,100.6,0.82,93.91,3.05,95.29,2.36
API_B,small_volatile,oxidation,high,99.53,0.4,67.26,19.78,67.4,19.71
API_B,small_volatile,thermal,low,97.1,0.32,95.41,1.4,96.09,1.06
API_B,small_volatile,thermal,mid,98.66,0.67,91.71,4.68,91.78,4.65
API_B,small_volatile,thermal,high,97.02,0.78,65.47,11.59,67.24,10.7
API_B,small_volatile,photolysis,low,97.7,0.96,95.91,1.54,96.63,1.18
API_B,small_volatile,photolysis,mid,100.21,0.7,85.33,8.71,84,9.37
API_B,small_volatile,photolysis,high,100.57,0.65,69.78,16.1,66.89,17.55
API_B,peptide,acid,low,99.97,0.53,98.83,1.01,97.99,1.43
API_B,peptide,acid,mid,100.06,0.57,88.8,5.5,88.61,5.59
API_B,peptide,acid,high,98.28,0.59,76.2,9.76,77.25,9.24
API_B,peptide,base,low,99.83,0.16,98.31,1.03,98.64,0.86
API_B,peptide,base,mid,100.62,0.63,88.66,9.33,90.06,8.64
API_B,peptide,base,high,98.52,0.11,73.25,17.21,74.67,16.5
API_B,peptide,oxidation,low,99.99,0.59,97.98,1.42,97.65,1.58
API_B,peptide,oxidation,mid,98.74,0.13,90.38,5.47,91.07,5.13
API_B,peptide,oxidation,high,97.51,0.66,77.11,10.8,78.35,10.18
API_B,peptide,thermal,low,97.11,0.68,96.27,1.12,95.76,1.38
API_B,peptide,thermal,mid,98.31,0.79,89.52,6.73,90.19,6.39
API_B,peptide,thermal,high,98.01,0.17,77.72,11.73,76.44,12.37
API_B,peptide,photolysis,low,100.12,0.69,97.74,2.53,99.03,1.89
API_B,peptide,photolysis,mid,97.08,0.24,90.82,4.21,91.22,4.01
API_B,peptide,photolysis,high,100.07,0.25,70.96,19.87,72.57,19.07
