API,class,stress,level,initial_API,initial_deg,stressed_API_true,stressed_deg_true,stressed_API_meas,stressed_deg_meas
Run_1,peptide,oxidation,high,101.12,0.11,59.29,41.93,59.28,40.82
Run_2,small_volatile,photolysis,high,100.12,0.97,71.45,29.65,71.96,30.66
Run_3,small_nonvolatile,thermal,high,100.23,0.14,66.97,33.40,65.95,32.96
Run_4,peptide,base,high,99.82,0.59,63.78,36.63,64.49,36.82
Run_5,small_nonvolatile,oxidation,high,98.95,0.76,57.06,42.65,57.21,41.95
Run_6,peptide,base,high,100.30,0.26,66.50,34.05,66.94,34.74
Run_7,peptide,acid,low,100.07,0.73,98.77,2.03,98.15,2.02
Run_8,small_volatile,acid,high,100.60,0.58,68.83,32.35,68.34,31.67
Run_9,small_volatile,thermal,low,99.01,0.33,95.37,3.42,95.15,3.07
Run_10,small_volatile,acid,mid,99.63,0.43,80.22,18.29,79.81,19.39
Run_11,peptide,base,mid,101.02,0.76,94.23,7.55,93.99,8.28
Run_12,peptide,photolysis,high,99.39,0.97,66.35,34.01,65.87,33.65
Run_13,small_nonvolatile,base,high,99.48,0.68,80.52,19.64,80.37,19.66
Run_14,small_nonvolatile,photolysis,low,99.39,0.56,97.79,2.15,97.77,2.44
Run_15,peptide,acid,high,100.34,0.52,64.19,36.68,64.45,36.16
Run_16,peptide,base,mid,101.10,0.52,81.29,20.34,81.32,19.85
Run_17,small_nonvolatile,base,high,99.87,0.12,72.52,27.47,72.50,27.26
Run_18,small_nonvolatile,oxidation,high,100.77,0.55,60.16,41.16,60.62,40.22
Run_19,small_nonvolatile,thermal,low,100.12,0.95,98.51,2.57,99.05,2.94
Run_20,small_volatile,thermal,high,98.15,0.67,48.07,50.75,46.91,50.05
Run_21,small_nonvolatile,thermal,mid,99.99,0.17,91.00,9.16,91.38,8.81
Run_22,small_nonvolatile,photolysis,mid,99.84,0.42,83.32,16.94,83.25,16.77
Run_23,small_volatile,acid,mid,99.99,0.75,94.99,4.64,94.89,4.84
Run_24,small_nonvolatile,thermal,mid,99.51,0.17,82.00,17.67,82.38,17.60
Run_25,small_volatile,oxidation,high,100.74,0.55,73.47,27.82,72.96,28.60
Run_26,small_volatile,oxidation,mid,99.78,0.89,88.40,12.26,88.42,11.60
Run_27,peptide,oxidation,high,99.49,0.12,59.88,39.73,60.98,39.96
Run_28,peptide,thermal,high,99.70,0.36,59.33,40.73,59.60,40.79
Run_29,peptide,thermal,high,100.55,0.38,71.28,29.65,71.61,29.23
Run_30,peptide,base,low,100.27,0.75,98.08,2.94,97.57,2.83
Run_31,peptide,base,mid,99.88,0.72,91.94,8.66,92.00,9.11
Run_32,small_volatile,photolysis,mid,99.79,0.70,92.32,8.17,92.51,8.12
Run_33,peptide,acid,high,99.51,0.84,60.92,39.43,60.83,39.68
Run_34,small_volatile,base,low,100.52,0.34,95.32,5.54,95.96,5.51
Run_35,small_volatile,thermal,mid,100.46,0.33,87.41,13.38,87.44,9.64
Run_36,small_nonvolatile,acid,low,99.57,0.12,96.27,3.42,96.05,3.84
Run_37,small_volatile,photolysis,mid,100.27,0.95,89.21,12.01,88.35,12.30
Run_38,peptide,thermal,low,100.51,0.34,96.35,4.50,96.53,4.18
Run_39,small_nonvolatile,thermal,high,99.39,0.60,70.11,29.89,70.41,28.95
Run_40,small_nonvolatile,oxidation,mid,99.78,0.63,92.09,8.32,92.09,7.86
Run_41,peptide,acid,mid,100.61,0.80,88.15,13.26,88.34,12.35
Run_42,peptide,oxidation,mid,100.71,0.49,93.53,7.67,93.06,7.81
Run_43,small_volatile,thermal,high,100.25,0.44,76.56,24.13,76.54,24.40
Run_44,peptide,base,mid,100.26,0.53,86.38,14.41,86.54,14.83
Run_45,peptide,photolysis,mid,100.33,0.11,86.57,13.87,86.30,13.70
Run_46,small_volatile,base,low,100.92,0.58,97.18,4.33,97.72,4.65
Run_47,small_volatile,acid,low,100.80,0.49,97.87,3.42,97.60,3.78
Run_48,small_volatile,photolysis,high,100.98,0.64,58.36,43.26,58.05,43.19
Run_49,small_nonvolatile,acid,mid,99.84,0.82,82.14,18.51,82.29,18.72
